UserID,No_of_days_Visited_7_Days,Pageloads_last_7_days,Clicks_last_7_days,No_Of_Products_Viewed_15_Days,Most_Viewed_product_15_Days,User_Vintage,Most_Active_OS,Recently_Viewed_Product
U100066,2,2,null,3,PR100942,153,,PR100498
U100067,2,4,25,2,PR100102,505,,PR100102
U100068,1,1,null,1,PR100498,272,,PR100498
U100069,4,8,72,14,PR100657,1777,,PR100210
U100070,6,40,58,41,PR100166,584,,PR100044
U100071,null,null,null,13,PR100430,88,,PR100430
U100072,null,null,null,null,Product101,65,,Product101
U100073,2,2,null,1,PR100178,84,,PR100178
U100074,null,null,null,1,PR100341,45,,PR100341
U100075,2,2,null,2,PR101618,464,,PR101618
U100076,1,2,null,6,PR100025,84,,PR100025
U100077,null,null,null,7,PR100101,1057,,PR100101
U100078,4,4,1,7,PR101686,74,,PR101686
U100079,3,4,36,9,PR100060,47,,PR100199
U100080,6,10,30,12,PR100036,251,,PR100275
U100081,6,52,49,49,PR100430,698,,PR100089
U100082,2,4,1,9,PR100069,129,,PR102075
U100083,4,5,4,6,PR100003,137,,PR100340
U100084,2,7,1,9,PR101249,57,,PR100073
U100085,2,2,null,4,PR100994,66,,PR100994
U100086,null,null,null,1,PR100901,378,,PR100901
U100088,3,7,4,25,PR100166,44,,PR100390
U100089,7,12,4,17,PR101975,1575,,PR102168
U100090,4,7,1,14,PR100301,746,,PR102621
U100091,2,21,37,19,PR100166,107,,PR100166
U100092,1,3,42,7,PR100900,475,,PR100900
U100093,1,4,28,4,PR100059,60,,PR100059
U100094,null,null,null,null,Product101,110,,PR100274
U100095,5,9,8,18,PR100618,1145,,PR100370
U100096,8,72,9,46,PR100098,835,,PR100648
U100097,1,null,1,2,Product101,74,,PR100146
U100098,1,2,3,19,PR100166,232,,PR100404
U100100,3,4,16,7,PR100086,81,,PR100086
U100101,1,1,null,1,PR100438,1440,,PR100438
U100102,5,32,41,28,PR100390,87,,PR100340
U100103,null,null,null,1,PR100444,43,,PR100444
U100104,null,null,null,null,Product101,1172,,PR101559
U100105,4,10,11,5,PR100390,313,,PR100390
U100109,1,2,1,2,PR102998,42,,PR102998
U100110,4,3,2,8,PR100811,446,,PR100811
U100111,null,null,null,null,Product101,null,,Product101
U100112,3,2,null,3,PR100210,70,,PR100210
U100113,1,3,7,7,PR100044,162,,PR100044
U100115,1,3,35,19,PR100997,49,,PR100997
U100116,null,null,null,null,Product101,47,,Product101
U100117,null,null,null,null,Product101,160,,Product101
U100118,4,14,12,11,PR100390,115,,PR100123
U100119,1,1,null,3,PR100146,795,,PR100146
U100122,null,null,null,null,Product101,58,,PR100885
U100123,1,1,null,1,PR100876,243,,PR100876
U100125,1,1,null,5,PR100739,546,,PR102519
U100126,1,1,null,2,PR101686,82,,PR101686
U100127,null,null,null,null,Product101,null,,Product101
U100129,1,1,1,2,PR100137,787,,PR100137
U100130,1,2,null,1,PR100102,59,,PR100102
U100131,1,1,null,1,PR100073,108,,PR100073
U100132,2,null,2,3,Product101,76,,PR100019
U100134,2,3,null,13,PR101934,484,,PR100498
U100136,4,16,47,20,PR100055,154,,PR100055
U100137,null,null,null,2,PR100469,48,,PR100469
U100138,4,8,7,9,PR100017,141,,PR100060
U100139,3,6,2,9,PR100051,320,,PR100051
U100141,2,4,8,9,PR100316,56,,PR100316
U100142,2,4,4,5,PR100162,454,,PR100162
U100144,null,null,null,5,PR100735,65,,PR100013
U100145,7,13,48,13,PR100390,111,,PR100390
U100146,1,null,5,2,Product101,116,,Product101
U100149,1,1,1,2,PR100500,296,,PR100500
U100150,1,2,null,2,PR101312,228,,PR101312
U100151,4,5,8,10,PR100859,318,,PR100273
U100152,2,4,11,5,PR100758,750,,PR100758
U100156,2,null,1,2,Product101,148,,Product101
U100157,1,1,1,1,PR100355,156,,PR100355
U100158,3,11,12,24,PR100051,1189,,PR100557
U100159,2,1,null,3,PR100318,285,,PR100318
U100161,1,null,null,3,PR100279,424,,PR100279
U100162,4,10,7,7,PR101003,944,,PR100500
U100163,5,11,20,21,PR100390,1545,,PR100811
U100164,6,54,67,18,PR100166,181,,PR100390
U100165,null,null,null,null,Product101,124,,PR100023
U100166,1,1,null,3,PR100130,51,,PR100130
U100167,7,23,19,37,PR100051,246,,PR100316
U100168,3,3,2,7,PR100017,992,,PR104035
U100169,4,3,4,6,PR100654,234,,PR100044
U100170,1,1,null,1,PR100279,62,,PR100279
U100171,2,3,2,2,PR100470,110,,PR100470
U100173,2,2,2,8,PR100910,42,,PR100910
U100174,6,8,3,6,PR100051,128,,PR100051
U100175,2,null,8,4,Product101,1919,,PR103867
U100176,5,6,34,18,PR100102,110,,PR103636
U100177,2,9,5,10,PR100475,184,,PR100475
U100178,1,null,1,2,Product101,2140,,PR100633
U100179,2,10,7,7,PR100120,159,,PR100225
U100180,2,8,8,15,PR100036,83,,PR100036
U100181,2,15,null,29,PR101000,265,,PR100560
U100182,null,null,null,null,Product101,47,,PR100317
U100183,1,1,1,1,PR100500,105,,PR100500
U100184,null,null,null,5,PR100513,123,,PR100513
U100185,1,null,null,1,Product101,108,,Product101
U100186,null,null,null,4,PR100145,56,,PR100145
U100187,2,4,22,4,PR100767,333,,PR100767
U100188,7,14,8,15,PR100852,202,,PR100307
U100190,1,1,null,1,PR100279,696,,PR100279
U100191,5,9,2,9,PR100676,85,,PR100234
U100192,null,null,null,null,Product101,120,,PR100017
U100193,2,4,20,9,PR100470,370,,PR100560
U100194,1,1,null,2,PR101111,51,,PR101111
U100197,null,null,null,1,PR100459,859,,PR100459
U100198,2,2,6,8,PR100870,479,,PR100870
U100200,null,null,null,2,PR100298,393,,PR100298
U100203,2,3,2,5,PR101031,280,,PR101031
U100204,1,2,4,2,Product101,322,,PR105130
U100205,4,4,5,2,PR100023,42,,PR100023
U100207,3,2,1,6,PR100135,140,,PR100307
U100208,1,1,3,11,PR100003,42,,PR100152
U100209,2,7,1,5,PR100070,182,,PR100275
U100210,4,4,3,18,PR100085,369,,PR101062
U100211,1,2,1,4,PR100945,51,,PR100945
U100213,1,1,null,2,PR100054,176,,PR100054
U100214,2,2,1,2,PR100359,154,,PR100359
U100215,null,null,null,null,Product101,162,,PR100037
U100216,null,null,null,5,PR100135,862,,PR100135
U100217,1,1,6,5,PR100086,268,,PR100086
U100218,null,null,null,1,Product101,42,,Product101
U100219,1,2,1,5,PR100316,434,,PR100316
U100220,4,13,123,16,PR100446,496,,PR100099
U100221,4,6,null,5,PR100182,205,,PR100182
U100223,2,1,82,5,PR100745,354,,PR100745
U100224,1,1,null,1,PR100039,62,,PR100039
U100225,1,1,2,1,PR100432,1187,,PR100432
U100226,2,1,4,3,PR100591,159,,PR100591
U100228,1,1,null,4,PR100352,168,,PR100352
U100229,1,1,null,1,PR101273,63,,PR101273
U100231,5,7,35,18,PR100352,122,,PR100352
U100232,1,2,4,4,PR100182,978,,PR100182
U100233,1,2,null,5,PR100152,237,,PR100152
U100234,2,4,2,2,PR100113,362,,PR100113
U100235,2,2,1,1,PR100438,1077,,PR100438
U100236,null,null,null,1,PR100258,262,,PR100258
U100238,null,null,null,3,PR100041,276,,PR100041
U100239,2,2,1,5,PR101257,2046,,PR100630
U100241,null,null,null,2,PR100166,73,,PR100166
U100242,2,4,12,9,PR100593,54,,PR100593
U100243,6,26,15,37,PR100123,322,,PR100616
U100245,4,23,18,17,PR100593,1865,,PR100014
U100246,3,3,null,2,PR100975,306,,PR100975
U100248,4,5,null,3,PR100316,1076,,PR100316
U100249,1,1,1,2,PR100788,424,,PR100788
U100250,2,2,26,9,PR100534,46,,PR100534
U100251,2,3,null,2,PR100118,1452,,PR100118
U100255,6,12,5,6,PR100051,72,,PR100051
U100256,null,null,null,null,Product101,900,,PR100413
U100257,1,1,2,2,PR100401,100,,PR100401
U100258,1,2,3,5,PR100044,209,,PR100044
U100259,5,13,2,18,PR101701,1974,,PR100025
U100260,2,2,null,1,PR100369,85,,PR100369
U100261,null,null,null,5,PR100017,655,,PR100017
U100262,1,1,null,null,Product101,48,,PR100719
U100263,1,null,1,2,Product101,125,,PR100486
U100264,5,6,null,3,PR100143,307,,PR101637
U100265,2,2,null,4,PR100010,546,,PR100010
U100266,3,2,1,9,PR100153,102,,PR100153
U100267,4,62,845,34,PR101042,184,,PR101452
U100268,6,15,10,13,PR100960,933,,PR100960
U100269,1,2,1,3,PR100997,2117,,PR100997
U100270,1,1,null,2,PR100138,450,,PR100138
U100271,null,null,null,1,PR100226,516,,PR100226
U100272,2,2,3,3,PR100166,69,,PR100498
U100273,3,3,5,19,PR100294,127,,PR100060
U100274,7,19,11,14,PR100047,185,,PR100014
U100275,1,1,1,2,PR101680,766,,PR101680
U100276,null,null,null,30,PR100246,555,,PR101085
U100277,null,null,null,null,Product101,209,,PR100060
U100278,3,4,null,4,PR100945,663,,PR100039
U100279,6,10,44,10,PR100702,191,,PR101049
U100280,null,null,null,null,Product101,116,,PR100340
U100281,null,null,null,2,PR100806,836,,PR100806
U100282,1,1,null,7,PR100126,57,,PR100126
U100283,null,null,null,null,Product101,null,,Product101
U100284,2,2,2,2,PR100039,52,,PR100039
U100286,null,null,null,1,Product101,835,,Product101
U100288,2,2,null,3,PR100039,70,,PR100039
U100290,2,3,13,4,PR100137,147,,PR100137
U100291,3,2,1,5,PR100054,46,,PR100466
U100292,1,2,2,5,PR100301,104,,PR100301
U100293,1,null,2,9,PR100431,368,,PR100431
U100294,null,null,null,5,PR100416,318,,PR100416
U100295,1,1,1,4,PR100166,726,,PR100166
U100297,4,9,1,13,PR100206,927,,PR100206
U100298,1,1,17,2,Product101,51,,Product101
U100300,null,null,null,1,Product101,415,,Product101
U100301,2,9,10,12,PR101164,858,,PR101169
U100302,8,33,30,51,PR100655,1026,,PR100370
U100303,1,1,null,null,Product101,121,,PR101062
U100304,3,6,30,8,PR100064,92,,PR100097
U100305,2,2,1,4,PR100308,637,,PR100308
U100306,1,1,null,2,PR100000,213,,PR100000
U100308,null,null,null,null,Product101,null,,Product101
U100309,3,2,18,6,PR100102,43,,PR100102
U100310,8,7,157,9,PR100590,733,,PR100113
U100311,1,2,null,3,PR100340,285,,PR100340
U100313,null,null,null,3,PR101293,1036,,PR101293
U100315,6,5,5,11,PR101477,570,,PR100044
U100316,4,9,15,13,PR100187,70,,PR100187
U100317,null,null,null,1,PR100166,1724,,PR100166
U100318,3,4,null,4,PR101273,733,,PR101273
U100319,3,8,1,6,PR100023,2028,,PR100098
U100321,3,2,6,11,PR100615,47,,PR100615
U100323,3,3,3,3,PR101483,372,,PR101483
U100324,1,1,1,1,PR100401,60,,PR100401
U100328,1,3,null,2,PR100430,77,,PR100430
U100329,2,3,10,7,PR100390,289,,PR100390
U100330,1,2,null,2,PR100020,211,,PR100020
U100331,1,1,1,2,PR100039,85,,PR100039
U100333,1,1,null,3,PR100041,389,,PR100041
U100334,1,1,2,3,PR102194,2230,,PR102194
U100336,null,null,null,4,PR100017,75,,PR100017
U100337,1,1,1,13,PR100166,173,,PR100390
U100338,1,2,null,1,PR100498,659,,PR100498
U100340,null,null,null,null,Product101,1039,,Product101
U100341,1,1,null,5,PR100035,2256,,PR100035
U100342,null,null,null,8,PR100017,671,,PR100988
U100343,2,2,1,4,PR100246,131,,PR101141
U100344,null,null,null,1,PR100017,94,,PR100017
U100345,1,null,1,1,Product101,42,,Product101
U100346,4,6,null,5,PR101761,1766,,PR101761
U100347,8,368,6417,112,PR101042,339,,PR100486
U100349,2,1,1,4,PR100130,817,,PR100130
U100351,7,20,155,27,PR100578,368,,PR100908
U100352,null,null,null,null,Product101,385,,Product101
U100353,4,6,9,13,PR100909,152,,PR101911
U100354,6,39,76,25,PR100390,802,,PR100390
U100355,2,3,null,1,PR100676,434,,PR100676
U100356,null,null,null,null,Product101,77,,PR100023
U100358,2,3,null,2,PR100102,198,,PR100102
U100359,1,1,1,2,PR101422,358,,PR101422
U100360,1,2,null,2,PR100938,519,,PR100938
U100362,null,null,null,1,PR100753,1108,,PR100753
U100363,2,2,null,2,PR100073,82,,PR100073
U100364,null,null,null,2,Product101,308,,Product101
U100365,2,7,5,8,PR100044,533,,PR100064
U100366,1,2,null,2,PR100059,1581,,PR100119
U100367,2,3,null,8,PR100868,955,,PR102165
U100368,null,null,null,null,Product101,55,,PR100321
U100369,null,null,null,6,PR100064,349,,PR100064
U100370,2,5,null,3,PR100312,107,,PR100312
U100371,1,1,null,null,Product101,78,,Product101
U100372,1,1,null,1,PR100676,820,,PR100676
U100374,7,37,null,2,PR100166,94,,PR100166
U100375,1,null,null,1,Product101,47,,PR100366
U100376,1,null,null,1,Product101,1653,,Product101
U100377,3,3,24,29,PR100308,676,,PR100743
U100378,1,1,null,1,PR100044,290,,PR100044
U100379,1,null,2,4,Product101,1120,,PR100102
U100380,4,5,1,2,PR100036,716,,PR100036
U100381,4,12,123,10,PR101042,48,,PR101490
U100382,7,12,63,38,PR100348,116,,PR101355
U100383,6,10,2,17,PR100098,176,,PR100025
U100384,1,null,17,6,PR100020,55,,PR100020
U100386,2,2,null,2,PR100771,318,,PR100771
U100387,4,6,7,10,PR101590,102,,PR100097
U100388,3,4,null,6,PR100986,54,,PR100182
U100389,1,1,null,2,PR100654,76,,PR100654
U100390,4,23,24,27,PR100287,77,,PR100515
U100391,4,4,5,6,PR100166,66,,PR100200
U100394,4,2,4,9,PR100166,212,,PR100152
U100396,3,3,null,12,PR100152,406,,PR100692
U100397,null,null,null,null,Product101,114,,PR101865
U100398,7,20,30,39,PR101746,665,,PR101746
U100399,2,2,1,2,PR100369,592,,PR100369
U100400,2,1,null,2,PR100036,90,,PR100036
U100401,null,null,null,3,PR100498,1147,,PR100498
U100402,1,1,null,1,PR100612,68,,PR100612
U100403,1,1,null,2,PR100141,57,,PR100141
U100405,5,14,3,17,PR100136,177,,PR100890
U100406,3,2,1,3,PR100025,51,,PR100025
U100407,1,3,4,12,PR100390,640,,PR100240
U100408,1,null,null,1,Product101,1197,,Product101
U100409,null,null,null,2,PR100102,104,,PR100102
U100410,7,44,297,29,PR101042,871,,PR100232
U100411,3,2,12,10,PR100200,2256,,PR100200
U100412,1,1,null,1,PR101216,305,,PR101216
U100413,2,9,8,10,PR101760,381,,PR101760
U100414,1,2,1,4,PR100352,89,,PR100352
U100415,2,1,13,4,PR100551,59,,PR100551
U100416,1,1,null,1,PR100039,386,,PR100039
U100417,3,3,null,4,PR100350,191,,PR100350
U100418,5,6,null,3,PR100390,1753,,PR100390
U100420,5,9,null,8,PR100792,72,,PR100792
U100421,1,null,null,2,PR100258,52,,PR100258
U100422,1,1,null,1,PR100560,290,,PR100560
U100423,7,23,21,15,PR100390,309,,PR100390
U100425,4,7,10,14,PR100390,80,,PR100390
U100427,1,1,1,4,PR100070,47,,PR100070
U100428,1,1,3,2,PR100200,1107,,PR100200
U100429,2,1,2,2,PR100047,622,,PR100047
U100430,1,2,2,null,Product101,78,,Product101
U100431,null,null,null,null,Product101,51,,PR100661
U100433,3,2,null,4,PR100182,52,,PR100182
U100434,2,5,28,8,PR101166,576,,PR101166
U100435,null,null,null,null,Product101,381,,PR100341
U100436,2,6,null,3,PR100102,1517,,PR100102
U100439,5,8,null,2,PR100515,167,,PR100515
U100440,1,1,1,1,PR101211,120,,PR101211
U100441,null,null,null,3,PR100130,1539,,PR100130
U100443,5,18,13,5,PR100390,326,,PR100390
U100445,null,null,null,2,PR100017,59,,PR100017
U100446,2,2,null,3,PR100592,222,,PR102519
U100447,3,7,null,5,PR100446,448,,PR100446
U100449,5,6,13,11,PR100166,416,,PR100166
U100450,5,8,6,4,PR100712,243,,PR100225
U100451,null,null,null,1,PR100106,325,,PR100106
U100452,1,2,null,2,PR101267,208,,PR101267
U100453,1,2,3,5,PR100166,312,,PR100166
U100454,4,95,87,131,PR100688,238,,PR101637
U100455,2,3,1,4,PR100743,228,,PR100743
U100457,2,null,42,8,PR100194,188,,PR100194
U100458,1,1,null,1,PR100321,760,,PR100321
U100459,2,3,1,6,PR100182,65,,PR100182
U100460,3,15,22,12,PR101042,127,,PR101042
U100461,4,8,2,2,PR100060,50,,PR100060
U100462,null,null,null,2,PR100675,1194,,PR100675
U100463,2,2,9,5,PR100190,77,,PR100190
U100464,1,23,26,39,PR100390,267,,PR101938
U100465,4,11,6,9,PR100166,480,,PR100390
U100466,1,null,null,3,PR101609,811,,PR101609
U100467,2,1,4,5,PR102648,94,,PR102648
U100469,null,null,null,null,Product101,87,,Product101
U100470,null,null,null,null,Product101,354,,Product101
U100471,5,9,2,17,PR101271,141,,PR100152
U100472,1,1,null,1,PR100054,85,,PR100054
U100473,3,3,13,7,PR100430,293,,PR100430
U100474,1,3,4,12,PR100483,88,,PR100483
U100475,6,7,null,3,PR101679,744,,PR101679
U100476,1,1,null,4,PR100039,388,,PR100039
U100477,2,1,1,5,PR100654,1022,,PR100654
U100478,1,2,null,2,PR100994,888,,PR100994
U100480,1,10,5,9,PR101257,1424,,PR101257
U100482,null,null,null,null,Product101,369,,Product101
U100483,1,3,2,6,PR100166,1439,,PR103424
U100485,null,null,null,5,PR100166,303,,PR100166
U100486,null,null,null,1,PR100166,141,,PR100166
U100487,1,2,7,5,PR100232,155,,PR100232
U100489,1,4,2,4,PR100166,270,,PR100231
U100490,2,2,null,1,PR100054,54,,PR100054
U100492,3,15,50,43,PR100097,144,,PR105412
U100493,null,null,null,null,Product101,61,,PR100302
U100494,2,1,15,5,PR100436,314,,PR100436
U100495,null,null,null,2,PR103508,104,,PR103508
U100496,3,4,17,4,PR100217,1627,,PR100758
U100497,null,null,null,1,PR101421,64,,PR101421
U100498,null,null,null,null,Product101,144,,PR100142
U100499,8,127,2265,75,PR101042,473,,PR100051
U100500,1,8,17,12,PR100123,2181,,PR100123
U100501,2,3,5,12,PR100330,56,,PR100330
U100502,1,1,null,3,PR101104,73,,PR101104
U100503,6,72,940,27,PR101367,167,,PR100811
U100504,2,8,6,9,PR100515,807,,PR100515
U100506,3,3,1,2,PR100340,113,,PR100340
U100507,2,1,5,4,PR100642,295,,PR100642
U100508,1,null,1,1,Product101,299,,Product101
U100509,1,6,23,7,PR100322,2256,,PR100102
U100510,null,null,null,2,PR101261,379,,PR101261
U100511,null,null,null,1,Product101,1802,,Product101
U100512,null,null,null,null,Product101,209,,PR100321
U100513,null,null,null,1,PR100348,193,,PR100348
U100514,null,null,null,1,PR100324,1444,,PR100324
U100515,null,null,null,3,PR101121,435,,PR101121
U100516,3,7,3,9,PR101515,2256,,PR101515
U100517,2,4,null,10,PR100595,1170,,PR101501
U100518,null,null,null,null,Product101,61,,Product101
U100519,2,2,3,3,PR100417,179,,PR100417
U100523,1,1,2,2,PR100088,81,,PR100088
U100524,1,1,null,1,PR100872,98,,PR100872
U100525,null,null,null,null,Product101,1442,,Product101
U100526,3,3,null,2,PR100263,226,,PR100263
U100527,2,3,6,9,PR100390,713,,PR100390
U100528,1,1,null,2,PR100430,89,,PR100430
U100529,null,null,null,1,PR100051,49,,PR100051
U100530,2,2,4,4,PR100352,111,,PR100352
U100531,2,2,null,3,PR100063,326,,PR100108
U100533,4,5,null,5,PR100467,630,,PR100467
U100535,null,null,null,3,PR100850,70,,PR100850
U100536,1,1,null,1,PR100102,521,,PR100102
U100537,null,null,null,2,PR100102,398,,PR100102
U100539,null,null,null,null,Product101,93,,PR100432
U100541,1,1,1,3,PR100102,99,,PR100102
U100542,5,15,5,6,PR101611,1939,,PR101611
U100543,1,null,3,6,PR100054,1093,,PR100054
U100544,1,1,1,1,PR100613,184,,PR100613
U100545,2,2,null,2,PR100986,62,,PR100986
U100548,null,null,null,2,Product101,123,,Product101
U100549,2,3,null,3,PR100871,56,,PR100871
U100550,3,5,null,11,PR100470,1090,,PR100722
U100552,1,1,null,1,PR100166,110,,PR100166
U100553,3,2,4,4,PR101923,1234,,PR101923
U100554,1,3,2,4,PR100962,85,,PR100962
U100555,3,2,null,5,PR100723,214,,PR100430
U100556,1,null,6,1,Product101,120,,Product101
U100558,1,5,13,5,PR101575,129,,PR101575
U100559,1,null,2,3,PR100069,619,,PR100417
U100560,2,2,null,2,PR101735,299,,PR101735
U100561,5,18,23,8,PR100166,250,,PR100390
U100562,3,4,2,5,PR100025,86,,PR100025
U100564,1,2,1,2,PR100206,2256,,PR100206
U100565,1,1,2,2,PR100819,1271,,PR100819
U100566,4,9,18,30,PR100287,66,,PR100070
U100567,null,null,null,null,Product101,201,,Product101
U100570,7,25,8,21,PR100291,578,,PR100291
U100571,1,1,null,4,PR100962,144,,PR100962
U100572,1,null,1,4,PR100258,215,,PR100258
U100573,1,3,6,4,PR100050,601,,PR100050
U100575,1,5,5,10,PR100145,338,,PR100219
U100576,null,null,null,null,Product101,1080,,PR100017
U100577,null,null,null,null,Product101,110,,PR100631
U100578,4,3,3,13,PR100400,436,,PR100400
U100579,2,5,1,4,PR100495,1039,,PR100495
U100580,null,null,null,1,PR100513,96,,PR100513
U100582,null,null,null,1,PR100250,527,,PR100250
U100583,2,14,38,21,PR101061,493,,PR100444
U100584,null,null,null,1,PR100401,389,,PR100401
U100586,null,null,null,2,Product101,78,,Product101
U100587,2,4,5,11,PR100390,658,,PR101447
U100588,2,2,4,23,PR100287,893,,PR100037
U100592,4,11,25,23,PR100450,1002,,PR100401
U100593,3,14,11,13,PR100166,1096,,PR100370
U100594,null,null,null,null,Product101,131,,Product101
U100595,7,186,1056,47,PR101367,846,,PR101367
U100596,3,1,1,3,PR100003,852,,PR100003
U100597,1,1,2,2,PR100102,71,,PR100102
U100599,2,2,2,3,PR100560,45,,PR100560
U100600,1,1,null,1,PR100102,1330,,PR100102
U100602,1,null,1,3,PR100013,82,,PR100013
U100603,2,5,2,12,PR101035,1147,,PR101035
U100606,2,3,1,2,PR101369,875,,PR101369
U100608,3,4,2,4,PR100341,452,,PR100341
U100609,null,null,null,2,PR100263,559,,PR100263
U100611,null,null,null,4,PR100152,696,,PR100138
U100612,1,1,null,3,PR100020,195,,PR100020
U100613,null,null,null,5,PR100942,52,,PR100795
U100614,1,null,1,2,Product101,248,,Product101
U100615,null,null,null,null,Product101,300,,Product101
U100616,null,null,null,1,PR100241,167,,PR100241
U100617,5,31,52,37,PR100166,733,,PR100498
U100618,4,87,467,51,PR101367,237,,PR101009
U100619,2,3,null,3,PR100885,54,,PR100667
U100620,7,346,1970,68,PR101367,427,,PR101452
U100621,null,null,null,null,Product101,160,,PR100621
U100622,2,3,null,25,PR100123,1154,,PR100415
U100623,1,1,2,1,PR100200,70,,PR100200
U100625,1,3,null,2,PR100470,67,,PR100470
U100627,7,42,41,20,PR101470,340,,PR101470
U100629,4,6,5,10,PR100906,250,,PR100906
U100630,6,5,4,8,PR100470,1094,,PR100470
U100633,null,null,null,3,PR100080,44,,PR100080
U100636,1,1,1,1,PR101513,305,,PR101513
U100639,6,27,41,9,PR100390,306,,PR100390
U100641,1,2,null,1,PR100102,362,,PR100102
U100642,2,3,2,4,PR100044,1892,,PR100044
U100644,1,2,null,1,PR100113,105,,PR100113
U100645,2,3,2,6,PR100612,68,,PR100612
U100648,1,null,1,1,Product101,1235,,Product101
U100649,2,3,1,2,PR100106,181,,PR100106
U100650,1,3,2,4,PR100819,111,,PR100819
U100651,null,null,null,null,Product101,43,,PR100040
U100652,2,1,1,2,PR100224,367,,PR100224
U100654,4,5,21,8,PR100223,102,,PR100223
U100655,5,14,15,6,PR100390,173,,PR100166
U100656,3,3,1,6,PR100044,78,,PR100044
U100657,3,5,9,16,PR100279,553,,PR100279
U100658,2,2,1,4,PR100025,228,,PR100025
U100659,3,9,2,10,PR100051,52,,PR100470
U100660,1,1,null,1,PR101529,328,,PR101529
U100662,2,1,null,5,PR100321,46,,PR100321
U100663,3,4,8,14,PR100166,111,,PR100997
U100664,2,4,9,8,PR100469,346,,PR100469
U100665,7,35,61,20,PR100166,266,,PR100515
U100666,2,3,18,18,PR100030,332,,PR101546
U100672,3,3,11,22,PR100390,783,,PR100390
U100673,null,null,null,5,PR100664,482,,PR100664
U100674,2,14,11,11,PR100017,897,,PR100287
U100675,3,6,5,5,PR100062,128,,PR100320
U100676,1,null,1,1,Product101,1785,,Product101
U100678,null,null,null,2,PR100095,71,,PR100095
U100679,null,null,null,3,PR100510,496,,PR100510
U100680,4,8,5,9,PR100187,116,,PR100187
U100681,3,14,25,16,PR100017,149,,PR102286
U100682,3,4,null,1,PR100470,50,,PR100470
U100683,3,3,null,2,PR100396,496,,PR100396
U100684,2,2,4,7,PR100390,825,,PR100390
U100685,1,1,null,1,PR100003,90,,PR100003
U100686,1,null,null,9,PR100083,1080,,PR100097
U100687,3,2,6,5,PR100776,182,,PR100776
U100688,1,1,null,5,PR103545,194,,PR101092
U100689,6,28,97,23,PR101367,673,,PR101367
U100690,null,null,null,null,Product101,112,,Product101
U100693,3,68,436,21,PR101367,1047,,PR101367
U100696,1,2,1,1,PR100041,117,,PR100041
U100697,2,1,31,7,PR100548,135,,PR100548
